Tag,ID,FvFm,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,D_toWhite,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
T2-6-2_I,T2-6-2,0.42,T2,6,2,Stylophora pistillata,35.57866298,I,0,60.97635729,189.4926103,182.3939287,181.3370145,53.05,31.81,9.81
T2-6-2_Middle,T2-6-2,0.084,T2,6,2,Stylophora pistillata,35.57866298,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-6-1_F,T3-6-1,0,T3,6,1,Stylophora pistillata,37.86072744,F,18,39.86776648,203.06107,197.9103429,195.4444993,114.4628404,95.88129384,78.60111323
T3-6-1_I,T3-6-1,0.406,T3,6,1,Stylophora pistillata,37.86072744,I,0,61.93845297,189.4926103,182.3939287,181.3370145,61.29,38.83,14.49
T3-6-1_Middle,T3-6-1,0.237,T3,6,1,Stylophora pistillata,37.86072744,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-6-2_F,T3-6-2,0.09,T3,6,2,Stylophora pistillata,36.32067772,F,18,49.6760882,202.9671618,197.6083968,195.5745627,85.21653837,70.70124237,58.34721332
T3-6-2_I,T3-6-2,0.429,T3,6,2,Stylophora pistillata,36.32067772,I,0,62.98365742,189.4926103,182.3939287,181.3370145,48.92,28.3,7.48
T3-6-2_Middle,T3-6-2,0.068,T3,6,2,Stylophora pistillata,36.32067772,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-7-1_F,C-7-1,0.312,C,7,1,Stylophora pistillata,31.81368785,F,18,58.61118738,203.3483167,198.3070401,195.4294749,83.83863118,56.70866525,26.67247253
C-7-1_I,C-7-1,0.348,C,7,1,Stylophora pistillata,31.81368785,I,0,55.94630898,195.2195438,189.7116959,188.1831141,82.08160819,55.08695218,27.92126358
C-7-1_Middle,C-7-1,0.381,C,7,1,Stylophora pistillata,31.81368785,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-7-2_F,C-7-2,0.281,C,7,2,Stylophora pistillata,31.81342634,F,18,58.89701891,202.7859978,197.5462694,195.2656371,91.10028327,59.60159373,22.47637201
C-7-2_I,C-7-2,0.333,C,7,2,Stylophora pistillata,31.81342634,I,0,56.9027355,195.2195438,189.7116959,188.1831141,85.67110428,55.78779899,23.13047083
C-7-2_Middle,C-7-2,0.414,C,7,2,Stylophora pistillata,31.81342634,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-7-1_F,T1-7-1,0.275,T1,7,1,Stylophora pistillata,33.65498611,F,18,61.88357809,203.3483167,198.3070401,195.4294749,73.13160215,48.93970239,19.72359809
T1-7-1_I,T1-7-1,0.343,T1,7,1,Stylophora pistillata,33.65498611,I,0,54.75506997,195.2195438,189.7116959,188.1831141,87.62534781,60.24791315,28.72275692
T1-7-1_Middle,T1-7-1,0.335,T1,7,1,Stylophora pistillata,33.65498611,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-7-2_F,T1-7-2,0.286,T1,7,2,Stylophora pistillata,34.09503478,F,18,62.97199395,202.7859978,197.5462694,195.2656371,72.51569627,46.03303223,15.12170945
T1-7-2_I,T1-7-2,0.354,T1,7,2,Stylophora pistillata,34.09503478,I,0,59.8399231,195.2195438,189.7116959,188.1831141,77.48703625,48.20482438,16.1470165
T1-7-2_Middle,T1-7-2,0.418,T1,7,2,Stylophora pistillata,34.09503478,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-7-1_F,T2-7-1,0.082,T2,7,1,Stylophora pistillata,36.10948895,F,18,52.13044499,203.06107,197.9103429,195.4444993,97.62310195,70.07592191,42.33914799
T2-7-1_I,T2-7-1,0.338,T2,7,1,Stylophora pistillata,36.10948895,I,0,55.1363183,195.2195438,189.7116959,188.1831141,86.6765415,58.48624816,28.22386927
T2-7-1_Middle,T2-7-1,0.303,T2,7,1,Stylophora pistillata,36.10948895,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-7-2_F,T2-7-2,0.16,T2,7,2,Stylophora pistillata,35.57866298,F,18,51.66153866,202.9671618,197.6083968,195.5745627,102.9182937,73.22504621,42.39830753
T2-7-2_I,T2-7-2,0.347,T2,7,2,Stylophora pistillata,35.57866298,I,0,53.645383,195.2195438,189.7116959,188.1831141,89.2246685,61.48967976,32.57718289
T2-7-2_Middle,T2-7-2,0.376,T2,7,2,Stylophora pistillata,35.57866298,Middle,7,NA,NA,NA,NA,NA,NA,NA
T3-7-1_F,T3-7-1,0,T3,7,1,Stylophora pistillata,37.86072744,F,18,56.13795779,203.06107,197.9103429,195.4444993,84.89562715,59.22531059,34.81483821
T3-7-1_I,T3-7-1,0.367,T3,7,1,Stylophora pistillata,37.86072744,I,0,59.89348522,195.2195438,189.7116959,188.1831141,70.82937028,45.8914061,19.45659365
T3-7-1_Middle,T3-7-1,0.206,T3,7,1,Stylophora pistillata,37.86072744,Middle,7,NA,NA,NA,NA,NA,NA,NA
