ID,Tag,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,FvFm,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
T3-4-2,T3-4-2_I,T3,4,2,Acropora hemprichii,36.32067772,I,0,0.523,193.4885714,189.7432653,186.6583674,51.60892519,28.1217248,24.05121619
T3-4-2,T3-4-2_Middle,T3,4,2,Acropora hemprichii,36.32067772,Middle,7,0.022,NA,NA,NA,NA,NA,NA
T3-4-2,T3-4-2_F,T3,4,2,Acropora hemprichii,36.32067772,F,18,0.216,195.9604082,194.9604082,191.0730612,85.755914,66.05278544,59.78798748
C-5-1,C-5-1_I,C,5,1,Acropora hemprichii,31.81368785,I,0,0.532,193.4885714,189.7432653,186.6583674,53.87676602,25.52278601,16.95503101
C-5-1,C-5-1_Middle,C,5,1,Acropora hemprichii,31.81368785,Middle,7,0.283,NA,NA,NA,NA,NA,NA
C-5-1,C-5-1_F,C,5,1,Acropora hemprichii,31.81368785,F,18,0.451,197.4918367,195.7571429,192.8591837,55.54187315,27.50803054,19.72562663
T1-5-1,T1-5-1_I,T1,5,1,Acropora hemprichii,33.65498611,I,0,0.516,193.4885714,189.7432653,186.6583674,52.20358551,26.16974442,18.92902732
T1-5-1,T1-5-1_Middle,T1,5,1,Acropora hemprichii,33.65498611,Middle,7,0.244,NA,NA,NA,NA,NA,NA
T1-5-1,T1-5-1_F,T1,5,1,Acropora hemprichii,33.65498611,F,18,0.396,197.4918367,195.7571429,192.8591837,62.2360754,35.4922386,30.01528723
T2-5-1,T2-5-1_I,T2,5,1,Acropora hemprichii,36.10948895,I,0,0.514,193.4885714,189.7432653,186.6583674,66.72003437,37.47730202,29.99455821
T2-5-1,T2-5-1_Middle,T2,5,1,Acropora hemprichii,36.10948895,Middle,7,0.122,NA,NA,NA,NA,NA,NA
T2-5-1,T2-5-1_F,T2,5,1,Acropora hemprichii,36.10948895,F,18,0,197.4769388,197.0173469,194.2402041,91.75740186,69.235793,57.05134325
T3-5-1,T3-5-1_I,T3,5,1,Acropora hemprichii,37.86072744,I,0,0.529,193.4885714,189.7432653,186.6583674,46.76870225,22.48845883,14.25019222
T3-5-1,T3-5-1_Middle,T3,5,1,Acropora hemprichii,37.86072744,Middle,7,0,NA,NA,NA,NA,NA,NA
