"Index","Outcome","Covars","p_spearman","ci_lower","ci_upper","p_value","CV_RMSE","R2","RMSE_in","AIC","BIC","N","nGenos","Species","p_adj_BH","Rank"
"F_PC1","cells_cm2","",-0.831707317073171,-0.916976924537824,-0.656081800721652,0,0.096155139508032,0.649453911734955,0.0869563350964641,-75.8728518845998,-70.806213522258,40,5,"Acropora hemprichii",0,14
"int","cells_cm2","",-0.831707317073171,-0.915388348662072,-0.655062489915977,0,0.0963074882738692,0.647840669854089,0.0871561955138653,-75.6891908883635,-70.6225525260217,40,5,"Acropora hemprichii",0,15
"DeltaE76","cells_cm2","",0.829831144465291,0.654881557634292,0.910807585945698,0,0.095315127245101,0.656272228226013,0.086106507847174,-76.6585401958282,-71.5919018334863,40,5,"Acropora hemprichii",0,16
"D_toWhite","cells_cm2","",0.829268292682927,0.652922459686081,0.90943650753145,0,0.0952142177859845,0.654400139606252,0.0863406758903551,-76.4412741951568,-71.374635832815,40,5,"Acropora hemprichii",0,17
"g_minus_r","cells_cm2","",-0.827392120075047,-0.900351680604093,-0.676036052924668,0,0.0867840343534909,0.693193559805969,0.0813506262814107,-81.2038570830684,-76.1372187207266,40,5,"Acropora hemprichii",0,18
"ExR","cells_cm2","",0.826829268292683,0.660581546471442,0.903325094328126,0,0.0874080552744259,0.686666098524257,0.0822114594536305,-80.3617635216284,-75.2951251592866,40,5,"Acropora hemprichii",0,19
"R_plus_B","cells_cm2","",-0.825515947467167,-0.916352675207234,-0.643347904921071,0,0.0977730844775115,0.635500608304706,0.0886700735734571,-74.3115442113003,-69.2449058489585,40,5,"Acropora hemprichii",0,20
"Grayscale_norm","cells_cm2","",-0.822514071294559,-0.909122748843561,-0.638840645669957,0.000000000184757662226336,0.0967054638872657,0.64754400275575,0.0871928989747764,-75.6555081563152,-70.5888697939734,40,5,"Acropora hemprichii",0.000000000554272986679008,21
"ChOL","cells_cm2","",-0.821200750469043,-0.890513078150932,-0.692180484330232,0.00000000177418524428206,0.103315703677996,0.611067230665487,0.0915937695591417,-71.7162795459204,-66.6496411835786,40,5,"Acropora hemprichii",0.00000000508062138135318,22
"VARI","cells_cm2","",-0.819324577861164,-0.888137595122819,-0.689625644898314,0.0000000041445832481952,0.0962468592093875,0.646226597182758,0.0873557012446267,-75.5062753884969,-70.4396370261551,40,5,"Acropora hemprichii",0.0000000113525541146216,23
"GLI2","cells_cm2","",-0.81688555347092,-0.912961744524861,-0.624283677360072,0.00000000740591907290826,0.0889092057278684,0.673351186570282,0.083940046864781,-78.6971143647457,-73.6304760024039,40,5,"Acropora hemprichii",0.0000000194405375663842,24
"ExGR_2","cells_cm2","",-0.812007504690432,-0.884278180888834,-0.685289797621044,0.0000000145631408504708,0.0914485509384375,0.671471617975632,0.0841811999971315,-78.4676101922576,-73.4009718299158,40,5,"Acropora hemprichii",0.0000000366991149431864,25
"R_index","cells_cm2","",-0.807692307692308,-0.894393919773341,-0.62457415124178,0.0000000216367343914383,0.0970744671041022,0.643531356611677,0.0876878317717657,-75.2026883481816,-70.1360499858397,40,5,"Acropora hemprichii",0.0000000504857135800226,26
"V_hsv","cells_cm2","",-0.807692307692308,-0.894393919773341,-0.62457415124178,0.0000000216367343914383,0.0970744671041023,0.643531356611677,0.0876878317717657,-75.2026883481816,-70.1360499858397,40,5,"Acropora hemprichii",0.0000000504857135800226,27
"B_index","cells_cm2","",-0.804315196998124,-0.911201101608267,-0.601510595738292,0.0000000276871474721454,0.102216192645241,0.593727563906782,0.0936132545185668,-69.9715811372042,-64.9049427748624,40,5,"Acropora hemprichii",0.0000000622960818123272,28
"r_norm","cells_cm2","",0.793996247654784,0.580366330166951,0.904533902200289,0.0000000492419013680213,0.0946766450243553,0.632814639629808,0.0889961754813433,-74.0178679270714,-68.9512295647296,40,5,"Acropora hemprichii",0.000000106973785730529,29
"redness_index","cells_cm2","",0.787429643527205,0.568181148696624,0.898251290205493,0.0000000656713334187837,0.0985041436453296,0.604673933128681,0.0923435126650402,-71.0641031092057,-65.9974647468639,40,5,"Acropora hemprichii",0.000000137909800179446,30
"r_minus_b","cells_cm2","",0.734896810506567,0.471466252166854,0.873944410739008,0.000000367733022754396,0.106986080449152,0.54066336728171,0.0995392137717062,-65.061205679586,-59.9945673172442,40,5,"Acropora hemprichii",0.000000747328401081514,31
"S_hsv","cells_cm2","",0.706191369606004,0.436858339326901,0.855346779187126,0.00000101767774518634,0.111274278931273,0.497284579079957,0.104133332891877,-61.4515696575508,-56.384931295209,40,5,"Acropora hemprichii",0.00000188569699843351,32
"NRBI","cells_cm2","",0.706191369606004,0.436858339326901,0.855346779187126,0.00000101767774518634,0.112938407245214,0.489531717135961,0.104933231237051,-60.8393992692883,-55.7727609069465,40,5,"Acropora hemprichii",0.00000188569699843351,33
"KI","cells_cm2","",-0.706191369606004,-0.855346779187126,-0.436858339326901,0.00000101767774518633,0.140260120124883,0.353290837296608,0.118109048816919,-51.3766724441864,-46.3100340818446,40,5,"Acropora hemprichii",0.00000188569699843351,34
"EVI","cells_cm2","",-0.703001876172608,-0.824262029261049,-0.502069535219787,0.00000115044576848931,0.113611157317425,0.504961033280063,0.103335217437201,-62.0670803095497,-57.0004419472078,40,5,"Acropora hemprichii",0.00000207080238328076,35
"H_hsv","cells_cm2","",-0.675984990619137,-0.829861586993436,-0.462814394178515,0.00000338114313949906,0.140407623971898,0.1882799495905,0.132321922382712,-42.2863189057847,-37.2196805434429,40,5,"Acropora hemprichii",0.00000591700049412336,36
"CIVE_norm","cells_cm2","",0.670356472795497,0.452206666410466,0.805197434763379,0.00000424478283306305,0.110283940582122,0.532441065864534,0.100426157219717,-64.3515233900022,-59.2848850276604,40,5,"Acropora hemprichii",0.0000072276032022425,37
"VEG","cells_cm2","",-0.669418386491557,-0.805212478560594,-0.436090479152111,0.00000440851384343126,0.115049563797886,0.499521223447892,0.103901423484116,-61.629931779623,-56.5632934172812,40,5,"Acropora hemprichii",0.00000730885189832025,38
"VDVI","cells_cm2","",-0.649718574108818,-0.791745193103126,-0.403512990549046,0.00000966239291744666,0.115367101711456,0.487353662667149,0.105156856314563,-60.6690912536559,-55.6024528913141,40,5,"Acropora hemprichii",0.0000148470915560766,39
"g_norm","cells_cm2","",-0.649718574108818,-0.791745193103126,-0.403512990549046,0.00000966239291744666,0.115880297671529,0.483665633884167,0.105534432896822,-60.3823574353747,-55.3157190730329,40,5,"Acropora hemprichii",0.0000148470915560766,40
"ExG_2","cells_cm2","",-0.649718574108818,-0.791745193103126,-0.403512990549046,0.00000966239291744666,0.115880297671529,0.483665633884167,0.105534432896822,-60.3823574353747,-55.3157190730329,40,5,"Acropora hemprichii",0.0000148470915560766,41
"b_norm","cells_cm2","",-0.631144465290807,-0.817720896930031,-0.324791249142534,0.000019700670670542,0.123524544387947,0.389914183413948,0.114716035356623,-53.7085543062027,-48.6419159438608,40,5,"Acropora hemprichii",0.000029551006005813,42
"a_coral","cells_cm2","",0.590806754221389,0.376167439183409,0.74818608094375,0.000082252905745057,0.125755283131642,0.349004889463232,0.118499775681682,-51.1124542548523,-46.0458158925105,40,5,"Acropora hemprichii",0.000120510071207874,43
"CIVE_raw","cells_cm2","",0.491932457786116,0.2304225223665,0.717508523638534,0.00144293671110395,0.135472950627136,0.248892743178786,0.127285708373615,-45.3906011047554,-40.3239627424136,40,5,"Acropora hemprichii",0.00206602301817156,44
"R_minus_G","cells_cm2","",0.442589118198874,0.156148948865152,0.673411125645138,0.004583249141702,0.137661216469454,0.193401293167058,0.131903835935882,-42.5394883459855,-37.4728499836437,40,5,"Acropora hemprichii",0.0064165487983828,45
"RGBVI","cells_cm2","",-0.398874296435272,-0.619454747547406,-0.118734583702763,0.0112833703342727,0.145472757307069,0.192546091650424,0.131973743360131,-42.4971005532398,-37.430462190898,40,5,"Acropora hemprichii",0.0154533115447648,46
"Chroma_coral","cells_cm2","",0.375797373358349,0.0497432712599554,0.655737643020004,0.0174114998779599,0.148788634184839,0.131223781978759,0.136893436798383,-39.5691164965833,-34.5024781342415,40,5,"Acropora hemprichii",0.0233388189853504,47
